_step,total_comm_count,episode_reward_dyna,run_id,run_name
5779,11264,-30.786882400512695,076aeh46,no routing aorpo rest_seed = 30 k = 6
5831,12288,-30.786882400512695,076aeh46,no routing aorpo rest_seed = 30 k = 6
5949,12288,-32.206377029418945,076aeh46,no routing aorpo rest_seed = 30 k = 6
6001,13312,-32.206377029418945,076aeh46,no routing aorpo rest_seed = 30 k = 6
6119,13312,-31.326326370239258,076aeh46,no routing aorpo rest_seed = 30 k = 6
6171,14336,-31.326326370239258,076aeh46,no routing aorpo rest_seed = 30 k = 6
6289,14336,-31.86405658721924,076aeh46,no routing aorpo rest_seed = 30 k = 6
6341,15360,-31.86405658721924,076aeh46,no routing aorpo rest_seed = 30 k = 6
6459,15360,-30.466733932495117,076aeh46,no routing aorpo rest_seed = 30 k = 6
6511,16384,-30.466733932495117,076aeh46,no routing aorpo rest_seed = 30 k = 6
6629,16384,-28.884092330932617,076aeh46,no routing aorpo rest_seed = 30 k = 6
6681,17408,-28.884092330932617,076aeh46,no routing aorpo rest_seed = 30 k = 6
6799,17408,-28.632407188415527,076aeh46,no routing aorpo rest_seed = 30 k = 6
6851,18432,-28.632407188415527,076aeh46,no routing aorpo rest_seed = 30 k = 6
6969,18432,-30.773707389831543,076aeh46,no routing aorpo rest_seed = 30 k = 6
7021,19456,-30.773707389831543,076aeh46,no routing aorpo rest_seed = 30 k = 6
7139,19456,-30.09263515472412,076aeh46,no routing aorpo rest_seed = 30 k = 6
7191,20480,-30.09263515472412,076aeh46,no routing aorpo rest_seed = 30 k = 6
7309,20480,-29.656455993652344,076aeh46,no routing aorpo rest_seed = 30 k = 6
7361,21504,-29.656455993652344,076aeh46,no routing aorpo rest_seed = 30 k = 6
7479,21504,-29.323923110961914,076aeh46,no routing aorpo rest_seed = 30 k = 6
7531,22528,-29.323923110961914,076aeh46,no routing aorpo rest_seed = 30 k = 6
7649,22528,-32.06671333312988,076aeh46,no routing aorpo rest_seed = 30 k = 6
7701,23552,-32.06671333312988,076aeh46,no routing aorpo rest_seed = 30 k = 6
7819,23552,-28.95866298675537,076aeh46,no routing aorpo rest_seed = 30 k = 6
7871,24576,-28.95866298675537,076aeh46,no routing aorpo rest_seed = 30 k = 6
7989,24576,-29.162278175354004,076aeh46,no routing aorpo rest_seed = 30 k = 6
8041,25600,-29.162278175354004,076aeh46,no routing aorpo rest_seed = 30 k = 6
8159,25600,-30.43966293334961,076aeh46,no routing aorpo rest_seed = 30 k = 6
8211,26624,-30.43966293334961,076aeh46,no routing aorpo rest_seed = 30 k = 6
8329,26624,-29.70391082763672,076aeh46,no routing aorpo rest_seed = 30 k = 6
8381,27648,-29.70391082763672,076aeh46,no routing aorpo rest_seed = 30 k = 6
8499,27648,-27.596908569335938,076aeh46,no routing aorpo rest_seed = 30 k = 6
8551,28672,-27.596908569335938,076aeh46,no routing aorpo rest_seed = 30 k = 6
8669,28672,-28.805315017700195,076aeh46,no routing aorpo rest_seed = 30 k = 6
8721,29696,-28.805315017700195,076aeh46,no routing aorpo rest_seed = 30 k = 6
8839,29696,-27.425082206726074,076aeh46,no routing aorpo rest_seed = 30 k = 6
8891,30720,-27.425082206726074,076aeh46,no routing aorpo rest_seed = 30 k = 6
9009,30720,-28.979763984680176,076aeh46,no routing aorpo rest_seed = 30 k = 6
9061,31744,-28.979763984680176,076aeh46,no routing aorpo rest_seed = 30 k = 6
9179,31744,-29.263450622558594,076aeh46,no routing aorpo rest_seed = 30 k = 6
9231,32768,-29.263450622558594,076aeh46,no routing aorpo rest_seed = 30 k = 6
9349,32768,-27.92850112915039,076aeh46,no routing aorpo rest_seed = 30 k = 6
9401,33792,-27.92850112915039,076aeh46,no routing aorpo rest_seed = 30 k = 6
9519,33792,-28.018787384033203,076aeh46,no routing aorpo rest_seed = 30 k = 6
9571,34816,-28.018787384033203,076aeh46,no routing aorpo rest_seed = 30 k = 6
9689,34816,-28.85495948791504,076aeh46,no routing aorpo rest_seed = 30 k = 6
9741,35840,-28.85495948791504,076aeh46,no routing aorpo rest_seed = 30 k = 6
9859,35840,-27.478933334350586,076aeh46,no routing aorpo rest_seed = 30 k = 6
9911,36864,-27.478933334350586,076aeh46,no routing aorpo rest_seed = 30 k = 6
10029,36864,-28.424187660217285,076aeh46,no routing aorpo rest_seed = 30 k = 6
10081,37888,-28.424187660217285,076aeh46,no routing aorpo rest_seed = 30 k = 6
10199,37888,-28.310072898864746,076aeh46,no routing aorpo rest_seed = 30 k = 6
10251,38912,-28.310072898864746,076aeh46,no routing aorpo rest_seed = 30 k = 6
10369,38912,-29.05833148956299,076aeh46,no routing aorpo rest_seed = 30 k = 6
10421,39936,-29.05833148956299,076aeh46,no routing aorpo rest_seed = 30 k = 6
10539,39936,-28.18146514892578,076aeh46,no routing aorpo rest_seed = 30 k = 6
10591,40960,-28.18146514892578,076aeh46,no routing aorpo rest_seed = 30 k = 6
10709,40960,-28.308693885803223,076aeh46,no routing aorpo rest_seed = 30 k = 6
10761,41984,-28.308693885803223,076aeh46,no routing aorpo rest_seed = 30 k = 6
10879,41984,-29.131152153015137,076aeh46,no routing aorpo rest_seed = 30 k = 6
10931,43008,-29.131152153015137,076aeh46,no routing aorpo rest_seed = 30 k = 6
11049,43008,-28.462267875671387,076aeh46,no routing aorpo rest_seed = 30 k = 6
11101,44032,-28.462267875671387,076aeh46,no routing aorpo rest_seed = 30 k = 6
11219,44032,-28.51693820953369,076aeh46,no routing aorpo rest_seed = 30 k = 6
11271,45056,-28.51693820953369,076aeh46,no routing aorpo rest_seed = 30 k = 6
11389,45056,-28.368874549865723,076aeh46,no routing aorpo rest_seed = 30 k = 6
11441,46080,-28.368874549865723,076aeh46,no routing aorpo rest_seed = 30 k = 6
11559,46080,-28.85022258758545,076aeh46,no routing aorpo rest_seed = 30 k = 6
11611,47104,-28.85022258758545,076aeh46,no routing aorpo rest_seed = 30 k = 6
11729,47104,-29.23933982849121,076aeh46,no routing aorpo rest_seed = 30 k = 6
11781,48128,-29.23933982849121,076aeh46,no routing aorpo rest_seed = 30 k = 6
11899,48128,-27.976603507995605,076aeh46,no routing aorpo rest_seed = 30 k = 6
11951,49152,-27.976603507995605,076aeh46,no routing aorpo rest_seed = 30 k = 6
12069,49152,-28.071420669555664,076aeh46,no routing aorpo rest_seed = 30 k = 6
12121,50176,-28.071420669555664,076aeh46,no routing aorpo rest_seed = 30 k = 6
12239,50176,-28.116747856140137,076aeh46,no routing aorpo rest_seed = 30 k = 6
12291,51200,-28.116747856140137,076aeh46,no routing aorpo rest_seed = 30 k = 6
12409,51200,-28.311442375183105,076aeh46,no routing aorpo rest_seed = 30 k = 6
12461,52224,-28.311442375183105,076aeh46,no routing aorpo rest_seed = 30 k = 6
12579,52224,-28.788535118103027,076aeh46,no routing aorpo rest_seed = 30 k = 6
12631,53248,-28.788535118103027,076aeh46,no routing aorpo rest_seed = 30 k = 6
12749,53248,-27.091954231262207,076aeh46,no routing aorpo rest_seed = 30 k = 6
12801,54272,-27.091954231262207,076aeh46,no routing aorpo rest_seed = 30 k = 6
12919,54272,-29.227431297302246,076aeh46,no routing aorpo rest_seed = 30 k = 6
12971,55296,-29.227431297302246,076aeh46,no routing aorpo rest_seed = 30 k = 6
13089,55296,-27.352075576782227,076aeh46,no routing aorpo rest_seed = 30 k = 6
13141,57344,-27.352075576782227,076aeh46,no routing aorpo rest_seed = 30 k = 6
13259,57344,-27.96511173248291,076aeh46,no routing aorpo rest_seed = 30 k = 6
13311,58368,-27.96511173248291,076aeh46,no routing aorpo rest_seed = 30 k = 6
13429,58368,-27.413700103759766,076aeh46,no routing aorpo rest_seed = 30 k = 6
13481,60416,-27.413700103759766,076aeh46,no routing aorpo rest_seed = 30 k = 6
13599,60416,-27.400846481323242,076aeh46,no routing aorpo rest_seed = 30 k = 6
13651,61440,-27.400846481323242,076aeh46,no routing aorpo rest_seed = 30 k = 6
13769,61440,-26.990997314453125,076aeh46,no routing aorpo rest_seed = 30 k = 6
